x,Triangle,Trapezoidal,Gaussian
0.316000,0.316000,0.474000,0.023687
0.318000,0.318000,0.477000,0.024210
0.320000,0.320000,0.480000,0.024743
0.322000,0.322000,0.483000,0.025287
0.324000,0.324000,0.486000,0.025841
0.326000,0.326000,0.489000,0.026405
0.328000,0.328000,0.492000,0.026980
0.330000,0.330000,0.495000,0.027565
0.332000,0.332000,0.498000,0.028162
0.334000,0.334000,0.501000,0.028769
0.336000,0.336000,0.504000,0.029388
0.338000,0.338000,0.507000,0.030018
0.340000,0.340000,0.510000,0.030660
0.342000,0.342000,0.513000,0.031313
0.344000,0.344000,0.516001,0.031979
0.346000,0.346000,0.519000,0.032656
0.348000,0.348000,0.522000,0.033346
0.350000,0.350000,0.525001,0.034048
0.352000,0.352000,0.528001,0.034762
0.354000,0.354000,0.531000,0.035489
0.356000,0.356000,0.534001,0.036229
0.358000,0.358000,0.537001,0.036983
0.360000,0.360000,0.540001,0.037749
0.362000,0.362000,0.543001,0.038529
0.364000,0.364000,0.546001,0.039322
0.366000,0.366000,0.549001,0.040129
0.368000,0.368000,0.552001,0.040951
0.370000,0.370000,0.555001,0.041786
0.372000,0.372000,0.558001,0.042636
0.374000,0.374000,0.561001,0.043500
0.376000,0.376000,0.564001,0.044378
0.378000,0.378000,0.567001,0.045272
0.380000,0.380000,0.570001,0.046181
0.382000,0.382000,0.573001,0.047104
0.384000,0.384000,0.576001,0.048044
0.386000,0.386000,0.579001,0.048999
0.388000,0.388000,0.582001,0.049969
0.390000,0.390000,0.585001,0.050956
0.392000,0.392000,0.588001,0.051959
0.394000,0.394000,0.591001,0.052978
0.396000,0.396000,0.594001,0.054013
0.398000,0.398000,0.597001,0.055066
0.400000,0.400000,0.600001,0.056135
0.402000,0.402000,0.603001,0.057221
0.404000,0.404000,0.606001,0.058325
0.406000,0.406000,0.609001,0.059446
0.408000,0.408000,0.612001,0.060585
0.410000,0.410000,0.615001,0.061742
0.412000,0.412000,0.618001,0.062916
0.414000,0.414000,0.621001,0.064109
0.416000,0.416000,0.624001,0.065321
0.418000,0.418000,0.627001,0.066551
0.420000,0.420000,0.630001,0.067800
0.422000,0.422000,0.633001,0.069068
0.424001,0.424001,0.636001,0.070355
0.426001,0.426001,0.639001,0.071661
0.428001,0.428001,0.642001,0.072987
0.430001,0.430001,0.645001,0.074333
0.432001,0.432001,0.648001,0.075699
0.434001,0.434001,0.651001,0.077085
0.436001,0.436001,0.654001,0.078492
0.438001,0.438001,0.657001,0.079919
0.440001,0.440001,0.660001,0.081366
0.442001,0.442001,0.663001,0.082835
0.444001,0.444001,0.666001,0.084324
0.446001,0.446001,0.669001,0.085835
0.448001,0.448001,0.672001,0.087368
0.450001,0.450001,0.675001,0.088922
0.452001,0.452001,0.678001,0.090498
0.454001,0.454001,0.681001,0.092096
0.456001,0.456001,0.684001,0.093716
0.458001,0.458001,0.687001,0.095359
0.460001,0.460001,0.690001,0.097024
0.462001,0.462001,0.693001,0.098712
0.464001,0.464001,0.696001,0.100423
0.466001,0.466001,0.699001,0.102157
0.468001,0.468001,0.702001,0.103914
0.470001,0.470001,0.705001,0.105695
0.472001,0.472001,0.708001,0.107500
0.474001,0.474001,0.711001,0.109328
0.476001,0.476001,0.714001,0.111180
0.478001,0.478001,0.717001,0.113057
0.480001,0.480001,0.720001,0.114957
0.482001,0.482001,0.723001,0.116882
0.484001,0.484001,0.726001,0.118832
0.486001,0.486001,0.729001,0.120807
0.488001,0.488001,0.732001,0.122806
0.490001,0.490001,0.735001,0.124831
0.492001,0.492001,0.738001,0.126881
0.494001,0.494001,0.741001,0.128956
0.496001,0.496001,0.744001,0.131057
0.498001,0.498001,0.747001,0.133184
0.500001,0.500001,0.750001,0.135336
0.502001,0.502001,0.753001,0.137514
0.504001,0.504001,0.756001,0.139719
0.506001,0.506001,0.759001,0.141950
0.508001,0.508001,0.762001,0.144207
0.510001,0.510001,0.765001,0.146490
0.512001,0.512001,0.768001,0.148801
0.514000,0.514000,0.771001,0.151138
0.516000,0.516000,0.774001,0.153502
0.518000,0.518000,0.777001,0.155892
0.520000,0.520000,0.780001,0.158311
0.522000,0.522000,0.783001,0.160756
0.524000,0.524000,0.786000,0.163228
0.526000,0.526000,0.789000,0.165728
0.528000,0.528000,0.792000,0.168256
0.530000,0.530000,0.795000,0.170811
0.532000,0.532000,0.798000,0.173394
0.534000,0.534000,0.801000,0.176004
0.536000,0.536000,0.804000,0.178643
0.538000,0.538000,0.807000,0.181309
0.540000,0.540000,0.810000,0.184004
0.542000,0.542000,0.813000,0.186726
0.544000,0.544000,0.816000,0.189477
0.546000,0.546000,0.819000,0.192256
0.548000,0.548000,0.822000,0.195063
0.550000,0.550000,0.825000,0.197899
0.552000,0.552000,0.828000,0.200763
0.554000,0.554000,0.831000,0.203655
0.556000,0.556000,0.834000,0.206576
0.558000,0.558000,0.837000,0.209525
0.560000,0.560000,0.840000,0.212503
0.562000,0.562000,0.843000,0.215509
0.564000,0.564000,0.846000,0.218544
0.566000,0.566000,0.849000,0.221607
0.568000,0.568000,0.852000,0.224699
0.570000,0.570000,0.855000,0.227819
0.572000,0.572000,0.858000,0.230969
0.574000,0.574000,0.861000,0.234146
0.576000,0.576000,0.863999,0.237352
0.578000,0.578000,0.866999,0.240587
0.580000,0.580000,0.869999,0.243850
0.582000,0.582000,0.872999,0.247141
0.584000,0.584000,0.875999,0.250461
0.586000,0.586000,0.878999,0.253810
0.588000,0.588000,0.881999,0.257186
0.589999,0.589999,0.884999,0.260591
0.591999,0.591999,0.887999,0.264024
0.593999,0.593999,0.890999,0.267485
0.595999,0.595999,0.893999,0.270974
0.597999,0.597999,0.896999,0.274491
0.599999,0.599999,0.899999,0.278036
0.601999,0.601999,0.902999,0.281609
0.603999,0.603999,0.905999,0.285209
0.605999,0.605999,0.908999,0.288837
0.607999,0.607999,0.911999,0.292492
0.609999,0.609999,0.914999,0.296175
0.611999,0.611999,0.917999,0.299885
0.613999,0.613999,0.920999,0.303622
0.615999,0.615999,0.923999,0.307385
0.617999,0.617999,0.926999,0.311176
0.619999,0.619999,0.929999,0.314993
0.621999,0.621999,0.932999,0.318836
0.623999,0.623999,0.935999,0.322706
0.625999,0.625999,0.938999,0.326602
0.627999,0.627999,0.941998,0.330523
0.629999,0.629999,0.944998,0.334471
0.631999,0.631999,0.947998,0.338443
0.633999,0.633999,0.950998,0.342442
0.635999,0.635999,0.953998,0.346465
0.637999,0.637999,0.956998,0.350513
0.639999,0.639999,0.959998,0.354585
0.641999,0.641999,0.962998,0.358682
0.643999,0.643999,0.965998,0.362803
0.645999,0.645999,0.968998,0.366948
0.647999,0.647999,0.971998,0.371117
0.649999,0.649999,0.974998,0.375308
0.651999,0.651999,0.977998,0.379523
0.653999,0.653999,0.980998,0.383761
0.655999,0.655999,0.983998,0.388021
0.657999,0.657999,0.986998,0.392303
0.659999,0.659999,0.989998,0.396608
0.661999,0.661999,0.992998,0.400933
0.663999,0.663999,0.995998,0.405281
0.665999,0.665999,0.998998,0.409648
0.667998,0.667998,1.000000,0.414037
0.669998,0.669998,1.000000,0.418446
0.671998,0.671998,1.000000,0.422874
0.673998,0.673998,1.000000,0.427323
0.675998,0.675998,1.000000,0.431790
0.677998,0.677998,1.000000,0.436276
0.679998,0.679998,1.000000,0.440780
0.681998,0.681998,1.000000,0.445303
0.683998,0.683998,1.000000,0.449843
0.685998,0.685998,1.000000,0.454400
0.687998,0.687998,1.000000,0.458974
0.689998,0.689998,1.000000,0.463565
0.691998,0.691998,1.000000,0.468171
0.693998,0.693998,1.000000,0.472793
0.695998,0.695998,1.000000,0.477430
0.697998,0.697998,1.000000,0.482082
0.699998,0.699998,1.000000,0.486748
0.701998,0.701998,1.000000,0.491427
0.703998,0.703998,1.000000,0.496120
0.705998,0.705998,1.000000,0.500826
0.707998,0.707998,1.000000,0.505543
0.709998,0.709998,1.000000,0.510273
0.711998,0.711998,1.000000,0.515014
0.713998,0.713998,1.000000,0.519765
0.715998,0.715998,1.000000,0.524527
0.717998,0.717998,1.000000,0.529299
0.719998,0.719998,1.000000,0.534080
0.721998,0.721998,1.000000,0.538870
0.723998,0.723998,1.000000,0.543667
0.725998,0.725998,1.000000,0.548473
0.727998,0.727998,1.000000,0.553285
0.729998,0.729998,1.000000,0.558104
0.731998,0.731998,1.000000,0.562929
0.733998,0.733998,1.000000,0.567759
0.735998,0.735998,1.000000,0.572594
0.737998,0.737998,1.000000,0.577433
0.739998,0.739998,1.000000,0.582276
0.741998,0.741998,1.000000,0.587122
0.743998,0.743998,1.000000,0.591971
0.745997,0.745997,1.000000,0.596821
0.747997,0.747997,1.000000,0.601672
0.749997,0.749997,1.000000,0.606524
0.751997,0.751997,1.000000,0.611377
0.753997,0.753997,1.000000,0.616228
0.755997,0.755997,1.000000,0.621078
0.757997,0.757997,1.000000,0.625926
0.759997,0.759997,1.000000,0.630772
0.761997,0.761997,1.000000,0.635615
0.763997,0.763997,1.000000,0.640454
0.765997,0.765997,1.000000,0.645288
0.767997,0.767997,1.000000,0.650117
0.769997,0.769997,1.000000,0.654941
0.771997,0.771997,1.000000,0.659758
0.773997,0.773997,1.000000,0.664568
0.775997,0.775997,1.000000,0.669370
0.777997,0.777997,1.000000,0.674164
0.779997,0.779997,1.000000,0.678948
0.781997,0.781997,1.000000,0.683723
0.783997,0.783997,1.000000,0.688487
0.785997,0.785997,1.000000,0.693240
0.787997,0.787997,1.000000,0.697982
0.789997,0.789997,1.000000,0.702710
0.791997,0.791997,1.000000,0.707426
0.793997,0.793997,1.000000,0.712128
0.795997,0.795997,1.000000,0.716814
0.797997,0.797997,1.000000,0.721486
0.799997,0.799997,1.000000,0.726142
0.801997,0.801997,1.000000,0.730780
0.803997,0.803997,1.000000,0.735402
0.805997,0.805997,1.000000,0.740005
0.807997,0.807997,1.000000,0.744590
0.809997,0.809997,1.000000,0.749154
0.811997,0.811997,1.000000,0.753699
0.813997,0.813997,1.000000,0.758223
0.815997,0.815997,1.000000,0.762725
0.817997,0.817997,1.000000,0.767204
0.819997,0.819997,1.000000,0.771661
0.821997,0.821997,1.000000,0.776094
0.823996,0.823996,1.000000,0.780502
0.825996,0.825996,1.000000,0.784885
0.827996,0.827996,1.000000,0.789242
0.829996,0.829996,1.000000,0.793573
0.831996,0.831996,1.000000,0.797876
0.833996,0.833996,1.000000,0.802152
0.835996,0.835996,1.000000,0.806398
0.837996,0.837996,1.000000,0.810615
0.839996,0.839996,1.000000,0.814803
0.841996,0.841996,1.000000,0.818959
0.843996,0.843996,1.000000,0.823084
0.845996,0.845996,1.000000,0.827176
0.847996,0.847996,1.000000,0.831236
0.849996,0.849996,1.000000,0.835262
0.851996,0.851996,1.000000,0.839255
0.853996,0.853996,1.000000,0.843212
0.855996,0.855996,1.000000,0.847133
0.857996,0.857996,1.000000,0.851019
0.859996,0.859996,1.000000,0.854867
0.861996,0.861996,1.000000,0.858678
0.863996,0.863996,1.000000,0.862451
0.865996,0.865996,1.000000,0.866185
0.867996,0.867996,1.000000,0.869879
0.869996,0.869996,1.000000,0.873534
0.871996,0.871996,1.000000,0.877147
0.873996,0.873996,1.000000,0.880719
0.875996,0.875996,1.000000,0.884249
0.877996,0.877996,1.000000,0.887737
0.879996,0.879996,1.000000,0.891181
0.881996,0.881996,1.000000,0.894581
0.883996,0.883996,1.000000,0.897936
0.885996,0.885996,1.000000,0.901247
0.887996,0.887996,1.000000,0.904512
0.889996,0.889996,1.000000,0.907731
0.891996,0.891996,1.000000,0.910902
0.893996,0.893996,1.000000,0.914027
0.895996,0.895996,1.000000,0.917103
0.897996,0.897996,1.000000,0.920131
0.899996,0.899996,1.000000,0.923110
0.901995,0.901995,1.000000,0.926039
0.903995,0.903995,1.000000,0.928918
0.905995,0.905995,1.000000,0.931746
0.907995,0.907995,1.000000,0.934523
0.909995,0.909995,1.000000,0.937249
0.911995,0.911995,1.000000,0.939922
0.913995,0.913995,1.000000,0.942542
0.915995,0.915995,1.000000,0.945110
0.917995,0.917995,1.000000,0.947623
0.919995,0.919995,1.000000,0.950083
0.921995,0.921995,1.000000,0.952488
0.923995,0.923995,1.000000,0.954838
0.925995,0.925995,1.000000,0.957132
0.927995,0.927995,1.000000,0.959371
0.929995,0.929995,1.000000,0.961553
0.931995,0.931995,1.000000,0.963679
0.933995,0.933995,1.000000,0.965747
0.935995,0.935995,1.000000,0.967758
0.937995,0.937995,1.000000,0.969711
0.939995,0.939995,1.000000,0.971606
0.941995,0.941995,1.000000,0.973442
0.943995,0.943995,1.000000,0.975220
0.945995,0.945995,1.000000,0.976938
0.947995,0.947995,1.000000,0.978596
0.949995,0.949995,1.000000,0.980195
0.951995,0.951995,1.000000,0.981733
0.953995,0.953995,1.000000,0.983211
0.955995,0.955995,1.000000,0.984628
0.957995,0.957995,1.000000,0.985984
0.959995,0.959995,1.000000,0.987278
0.961995,0.961995,1.000000,0.988511
0.963995,0.963995,1.000000,0.989683
0.965995,0.965995,1.000000,0.990792
0.967995,0.967995,1.000000,0.991839
0.969995,0.969995,1.000000,0.992823
0.971995,0.971995,1.000000,0.993745
0.973995,0.973995,1.000000,0.994604
0.975995,0.975995,1.000000,0.995400
0.977995,0.977995,1.000000,0.996134
0.979994,0.979994,1.000000,0.996803
0.981994,0.981994,1.000000,0.997410
0.983994,0.983994,1.000000,0.997953
0.985994,0.985994,1.000000,0.998432
0.987994,0.987994,1.000000,0.998848
0.989994,0.989994,1.000000,0.999199
0.991994,0.991994,1.000000,0.999487
0.993994,0.993994,1.000000,0.999712
0.995994,0.995994,1.000000,0.999872
0.997994,0.997994,1.000000,0.999968
0.999994,0.999994,1.000000,1.000000
1.001994,0.998006,1.000000,0.999968
1.003994,0.996006,1.000000,0.999872
1.005994,0.994006,1.000000,0.999713
1.007994,0.992006,1.000000,0.999489
1.009994,0.990006,1.000000,0.999201
1.011994,0.988006,1.000000,0.998850
1.013994,0.986006,1.000000,0.998435
1.015994,0.984006,1.000000,0.997956
1.017994,0.982006,1.000000,0.997413
1.019994,0.980006,1.000000,0.996807
1.021994,0.978006,1.000000,0.996138
1.023994,0.976006,1.000000,0.995405
1.025994,0.974006,1.000000,0.994609
1.027994,0.972006,1.000000,0.993750
1.029994,0.970006,1.000000,0.992829
1.031994,0.968006,1.000000,0.991845
1.033994,0.966006,1.000000,0.990798
1.035994,0.964006,1.000000,0.989689
1.037994,0.962006,1.000000,0.988518
1.039994,0.960006,1.000000,0.987285
1.041994,0.958006,1.000000,0.985991
1.043994,0.956006,1.000000,0.984636
